chi_kappa,L,P_counter,Cobb_angle,D_geo,S_proprio,R_deficit,In_Deficit
0.01,0.25,0.0018809251283766523,0.4294352034485476,0.09217685635125625,0.0681442449568814,0.027602112688559638,False
0.01,0.2603448275862069,0.0020398085066404793,0.43138557036219827,0.08851419980749772,0.07010604147164119,0.029096044560804484,False
0.01,0.2706896551724138,0.002205133102942026,0.43333593727584885,0.08513149153459976,0.07204458416709231,0.030607895491876008,False
0.01,0.2810344827586207,0.002376898917281297,0.43528630418949926,0.08199781699958378,0.07396102229849995,0.032137183119080606,False
0.01,0.2913793103448276,0.002555105949658292,0.4372366711031499,0.07908665189900685,0.07585640829307319,0.03368345545423894,False
0.01,0.3017241379310345,0.0027397542000730055,0.43918703801680054,0.07637510954818374,0.07773170904335532,0.03524628795367012,False
0.01,0.3120689655172414,0.002930843668525447,0.4411374049304511,0.07384333796095115,0.07958781554259656,0.03682528096221986,False
0.01,0.3224137931034483,0.0031283743550156074,0.4430877718441017,0.07147403299963717,0.08142555115227598,0.03842005747268637,False
0.01,0.33275862068965517,0.003332346259543491,0.44503813875775244,0.06925204233643603,0.08324567873349763,0.04003026115279389,False
0.01,0.3431034482758621,0.0035427593821091012,0.4469885056714031,0.06716404105996059,0.08504890682876201,0.04165555460039145,False
0.01,0.35344827586206895,0.0037596137227124274,0.44893887258505355,0.06519826424844954,0.08683589504531139,0.043295617794353855,False
0.01,0.36379310344827587,0.00398290928135348,0.4508892394987041,0.06334428517029457,0.08860725876346277,0.04495014671411812,False
0.01,0.3741379310344828,0.0042126460580322565,0.452839606412355,0.06159283028079334,0.0903635732713064,0.046618852105198005,False
0.01,0.3844827586206897,0.004448824052748753,0.4547899733260055,0.059935624084897554,0.0921053774095472,0.04830145837161087,False
0.01,0.39482758620689656,0.004691443265502973,0.456740340239656,0.058365258388350015,0.09383317679610988,0.049997702579088955,False
0.01,0.4051724137931035,0.004940503696294917,0.45869070715330656,0.056875081578434704,0.09554744668867372,0.0517073335553672,False
0.01,0.41551724137931034,0.005196005345124583,0.4606410740669574,0.0554591044437019,0.09724863453397528,0.053430111075845284,False
0.01,0.42586206896551726,0.005457948211991969,0.46259144098060784,0.054111919720373096,0.09893716224508081,0.05516580512458896,False
0.01,0.4362068965517242,0.005726332296897082,0.4645418078942586,0.052828633086688344,0.10061342824154285,0.056914195222032046,False
0.01,0.4465517241379311,0.006001157599839914,0.46649217480790917,0.05160480374877279,0.10227780928215519,0.05867506981191237,False
0.01,0.45689655172413796,0.0062824241208204725,0.46844254172155975,0.050436393097857184,0.10393066211569521,0.06044822570096688,False
0.01,0.4672413793103449,0.00657013185983875,0.4703929086352103,0.04931972018794152,0.10557232497143228,0.0622334675457476,False
0.01,0.47758620689655173,0.006864280816894753,0.4723432755488611,0.04825142299975507,0.10720311890815015,0.06403060738163742,False
0.01,0.48793103448275865,0.007164870991988478,0.47429364246251166,0.04722842463226912,0.10882334903788177,0.0658394641897518,False
0.01,0.49827586206896557,0.007471902385119922,0.47624400937616224,0.04624790370564758,0.11043330563839517,0.06765986349793834,False
0.01,0.5086206896551724,0.007785374996289089,0.4781943762898129,0.045307268376041196,0.11203326516663911,0.0694916370125343,False
0.01,0.5189655172413794,0.008105288825495981,0.48014474320346356,0.04440413345824636,0.11362349118379614,0.07133462227793153,False
0.01,0.5293103448275862,0.0084316438727406,0.4820951101171139,0.04353630023104937,0.1152042352012572,0.07318866236133467,False
0.01,0.5396551724137931,0.00876444013802294,0.4840454770307646,0.04270173856527846,0.11677573745568816,0.07505360556039052,False
0.01,0.55,0.009103677621342995,0.48599584394441525,0.04189857106875282,0.11833822762037377,0.07692930513162136,False
0.01473684210526316,0.25,0.004084890029493894,0.6105253101494907,0.1358395777807987,0.0681442449568814,0.059944754426124,False
0.01473684210526316,0.2603448275862069,0.004429944236028076,0.6124756770631417,0.13044197866368087,0.07010604147164119,0.0631891937276197,False
0.01473684210526316,0.2706896551724138,0.0047889871266109385,0.6144260439767919,0.12545693489309437,0.07204458416709231,0.06647254865825704,False
0.01473684210526316,0.2810344827586207,0.005162018701242484,0.6163764108904424,0.12083888820991294,0.07396102229849995,0.06979377164919445,False
0.01473684210526316,0.2913793103448276,0.005549038959922719,0.6183267778040932,0.11654875016695748,0.07585640829307319,0.07315188109729455,False
0.01473684210526316,0.3017241379310345,0.005950047902651625,0.6202771447177438,0.11255279301837604,0.07773170904335532,0.0765459550018764,False
0.01473684210526316,0.3120689655172414,0.006365045529429227,0.6222275116313943,0.10882176120561221,0.07958781554259656,0.07997512541379606,False
0.01473684210526316,0.3224137931034483,0.006794031840255502,0.624177878545045,0.10533015389420214,0.08142555115227598,0.08343857356949064,False
0.01473684210526316,0.33275862068965517,0.007237006835130463,0.6261282454586955,0.10205564133790572,0.08324567873349763,0.08693552560606764,False
0.01473684210526316,0.3431034482758621,0.007693970514054113,0.6280786123723462,0.09897858682520509,0.08504890682876201,0.09046524877204125,False
0.01473684210526316,0.35344827586206895,0.008164922877026436,0.6300289792859968,0.09608165257666249,0.08683589504531139,0.09402704806308428,False
0.01473684210526316,0.36379310344827587,0.008649863924047447,0.6319793461996474,0.09334947288253939,0.08860725876346277,0.09762026322401275,False
0.01473684210526316,0.3741379310344828,0.009148793655117147,0.633929713113298,0.09076838146643229,0.0903635732713064,0.10124426606779847,False
0.01473684210526316,0.3844827586206897,0.009661712070235523,0.6358800800269487,0.08832618286195429,0.0921053774095472,0.10489845807020207,False
