chi_kappa,L,P_counter,S_proprio,Deficit,Deficit_Ratio,Is_Deficit
0.0,0.2,0.0,0.06967044174183609,-0.06967044174183609,0.0,False
0.0,0.21025641025641026,0.0,0.0714345295649756,-0.0714345295649756,0.0,False
0.0,0.22051282051282053,0.0,0.07315609049037662,-0.07315609049037662,0.0,False
0.0,0.23076923076923078,0.0,0.0748380594183399,-0.0748380594183399,0.0,False
0.0,0.24102564102564103,0.0,0.07648304844323199,-0.07648304844323199,0.0,False
0.0,0.2512820512820513,0.0,0.07809339447633563,-0.07809339447633563,0.0,False
0.0,0.26153846153846155,0.0,0.07967119819924494,-0.07967119819924494,0.0,False
0.0,0.27179487179487183,0.0,0.08121835620209368,-0.08121835620209368,0.0,False
0.0,0.28205128205128205,0.0,0.08273658770965217,-0.08273658770965217,0.0,False
0.0,0.2923076923076923,0.0,0.08422745696923163,-0.08422745696923163,0.0,False
0.0,0.3025641025641026,0.0,0.08569239213121876,-0.08569239213121876,0.0,False
0.0,0.3128205128205128,0.0,0.08713270127132157,-0.08713270127132157,0.0,False
0.0,0.3230769230769231,0.0,0.08854958606624969,-0.08854958606624969,0.0,False
0.0,0.33333333333333337,0.0,0.08994415352968174,-0.08994415352968174,0.0,False
0.0,0.3435897435897436,0.0,0.09131742613454322,-0.09131742613454322,0.0,False
0.0,0.35384615384615387,0.0,0.09267035058477203,-0.09267035058477203,0.0,False
0.0,0.36410256410256414,0.0,0.09400380545047822,-0.09400380545047822,0.0,False
0.0,0.37435897435897436,0.0,0.09531860784148158,-0.09531860784148158,0.0,False
0.0,0.38461538461538464,0.0,0.09661551926323718,-0.09661551926323718,0.0,False
0.0,0.3948717948717949,0.0,0.09789525077434427,-0.09789525077434427,0.0,False
0.0,0.40512820512820513,0.0,0.09915846754482721,-0.09915846754482721,0.0,False
0.0,0.4153846153846154,0.0,0.10040579289814582,-0.10040579289814582,0.0,False
0.0,0.4256410256410257,0.0,0.10163781190665289,-0.10163781190665289,0.0,False
0.0,0.4358974358974359,0.0,0.1028550745993553,-0.1028550745993553,0.0,False
0.0,0.4461538461538462,0.0,0.1040580988318821,-0.1040580988318821,0.0,False
0.0,0.4564102564102564,0.0,0.1052473728611434,-0.1052473728611434,0.0,False
0.0,0.4666666666666667,0.0,0.10642335766099163,-0.10642335766099163,0.0,False
0.0,0.47692307692307695,0.0,0.1075864890100339,-0.1075864890100339,0.0,False
0.0,0.48717948717948717,0.0,0.10873717937841197,-0.10873717937841197,0.0,False
0.0,0.49743589743589745,0.0,0.10987581963671417,-0.10987581963671417,0.0,False
0.0,0.5076923076923077,0.0,0.11100278060709351,-0.11100278060709351,0.0,False
0.0,0.5179487179487179,0.0,0.1121184144740432,-0.1121184144740432,0.0,False
0.0,0.5282051282051282,0.0,0.11322305607004315,-0.11322305607004315,0.0,False
0.0,0.5384615384615385,0.0,0.1143170240493818,-0.1143170240493818,0.0,False
0.0,0.5487179487179488,0.0,0.11540062196181498,-0.11540062196181498,0.0,False
0.0,0.558974358974359,0.0,0.11647413923631518,-0.11647413923631518,0.0,False
0.0,0.5692307692307692,0.0,0.11753785208394499,-0.11753785208394499,0.0,False
0.0,0.5794871794871794,0.0,0.11859202432783635,-0.11859202432783635,0.0,False
0.0,0.5897435897435898,0.0,0.11963690816734161,-0.11963690816734161,0.0,False
0.0,0.6,0.0,0.12067274488262761,-0.12067274488262761,0.0,False
0.01,0.2,0.0012037920821610583,0.06967044174183609,-0.06846664965967503,0.017278375908993247,False
0.01,0.21025641025641026,0.0013304237278847714,0.0714345295649756,-0.07010410583709083,0.018624378658147964,False
