chi_kappa,L,P_counter,S_proprio,Deficit,R_deficit,Cobb_angle,D_geo,Is_Deficit
0.01,0.25,0.00047023128209416307,0.018206143948862993,-0.01773591266676883,0.02582816456988026,0.44995250354508715,0.023321674625805797,False
0.01,0.2657894736842105,0.0005315046325365713,0.019003623174698225,-0.018472118542161655,0.027968594601698187,0.4811736848510427,0.02404687335897547,False
0.01,0.28157894736842104,0.0005965294125979025,0.019787006338095364,-0.01919047692549746,0.030147532294939498,0.5129097264846372,0.024750832901808652,False
0.01,0.2973684210526316,0.0006653056222781573,0.020557313499891646,-0.01989200787761349,0.032363451687481636,0.545191214207908,0.02543531679228516,False
0.01,0.31315789473684214,0.0007378332615773343,0.021315440959986758,-0.020577607698409425,0.0346149658814186,0.5780487337828928,0.026101857238797266,False
0.01,0.32894736842105265,0.0008141123304954345,0.02206218172913726,-0.021248069398641826,0.036900807929627646,0.6115128709716303,0.026751795496848484,False
0.01,0.3447368421052632,0.000894142829032458,0.02279824179753759,-0.02190409896850513,0.039219815149474965,0.6456142115361582,0.0273863136127492,False
0.01,0.3605263157894737,0.0009779247571884044,0.023524253215699068,-0.022546328458510664,0.041570916118849624,0.6803833412385136,0.028006459688552254,False
0.01,0.37631578947368427,0.0010654581149632735,0.02424078472413481,-0.023175326609171536,0.04395311979741619,0.7158508458407359,0.028613168214602722,False
0.01,0.39210526315789473,0.001156742902357065,0.02494835047448543,-0.023791607572128365,0.04636550635041226,0.752047311104862,0.029207276597926796,False
0.01,0.4078947368421053,0.0012517791193697812,0.025647417247623108,-0.02439563812825333,0.04880721935015857,0.78900332279293,0.02978953872181393,False
0.01,0.42368421052631583,0.001350566766001419,0.02633841047577024,-0.02498784370976882,0.051277459102699444,0.826749466666978,0.03036063616344529,False
0.01,0.43947368421052635,0.0014531058422519792,0.027021719303866924,-0.025568613461614945,0.05377547690105838,0.8653163284890443,0.030921187545754958,False
0.01,0.4552631578947369,0.001559396348121463,0.027697700872382502,-0.02613830452426104,0.05630057004754297,0.9047344940211657,0.03147175638934694,False
0.01,0.4710526315789474,0.0016694382836098705,0.02836668396410821,-0.02669724568049834,0.058852077518901286,0.9450345490253813,0.032012857748427444,False
0.01,0.48684210526315796,0.0017832316487171997,0.02902897212748004,-0.02724574047876284,0.06142937617240391,0.9862470792637285,0.03254496385328613,False
0.01,0.5026315789473685,0.0019007764434434537,0.029684846366067594,-0.02778406992262414,0.06403187740988983,1.0284026704982454,0.03306850893527481,False
0.01,0.518421052631579,0.0020220726677886293,0.030334567466189188,-0.028312494798400558,0.06665902423175887,1.0715319084909691,0.03358389337454785,False
0.01,0.5342105263157895,0.0021471203217527275,0.03097837802085353,-0.028831257699100804,0.06931028862477445,1.1156653790039388,0.034091487283244896,False
0.01,0.55,0.0022759194053357493,0.03161650419742854,-0.029340584792092794,0.07198516923704855,1.160833667799192,0.034591633615287665,False
0.01473684210526316,0.25,0.0010212225073734735,0.018206143948862993,-0.017184921441489517,0.05609219119885355,0.44995250354508715,0.034368783659082226,False
0.01473684210526316,0.2657894736842105,0.001154292609165296,0.019003623174698225,-0.01784933056553293,0.06074065974440824,0.4811736848510427,0.03543749758164806,False
0.01473684210526316,0.28157894736842104,0.0012955098600464145,0.019787006338095364,-0.01849149647804895,0.06547275711698773,0.5129097264846372,0.036474911644770645,False
0.01473684210526316,0.2973684210526316,0.0014448742600168295,0.020557313499891646,-0.019112439239874816,0.07028516931574962,0.545191214207908,0.03748362474652551,False
0.01473684210526316,0.31315789473684214,0.0016023858090765382,0.021315440959986758,-0.01971305515091022,0.07517488435188974,0.5780487337828928,0.038465894878227554,False
0.01473684210526316,0.32894736842105265,0.0017680445072255425,0.02206218172913726,-0.02029413722191172,0.08013915073913597,0.6115128709716303,0.03942369862693461,False
0.01473684210526316,0.3447368421052632,0.0019418503544638428,0.02279824179753759,-0.020856391443073746,0.08517544342711462,0.6456142115361582,0.04035877795563041,False
0.01473684210526316,0.3605263157894737,0.002123803350791438,0.023524253215699068,-0.02140044986490763,0.09028143556005015,0.6803833412385136,0.041272677435761226,False
0.01473684210526316,0.37631578947368427,0.0023139034962083287,0.02424078472413481,-0.02192688122792648,0.09545497485089834,0.7158508458407359,0.04216677421099349,False
0.01473684210526316,0.39210526315789473,0.002512150790714513,0.02494835047448543,-0.02243619968377092,0.10069406365297291,0.752047311104862,0.04304230235483949,False
0.01473684210526316,0.4078947368421053,0.002718545234309995,0.025647417247623108,-0.022928872013313114,0.10599684202361305,0.78900332279293,0.04390037285319947,False
0.01473684210526316,0.42368421052631583,0.0029330868269947714,0.02633841047577024,-0.023405323648775466,0.11136157323134727,0.826749466666978,0.04474199013560358,False
0.01473684210526316,0.43947368421052635,0.0031557755687688428,0.027021719303866924,-0.02386594373509808,0.11678663127542879,0.8653163284890443,0.04556806585690205,False
0.01473684210526316,0.4552631578947369,0.0033866114596322085,0.027697700872382502,-0.024311089412750293,0.12227049007555041,0.9047344940211657,0.046379430468511285,False
0.01473684210526316,0.4710526315789474,0.003625594499584872,0.02836668396410821,-0.024741089464523337,0.1278117140576693,0.9450345490253813,0.04717684299768256,False
0.01473684210526316,0.48684210526315796,0.003872724688626829,0.02902897212748004,-0.02515624743885321,0.13340894991458363,0.9862470792637285,0.04796099936273746,False
0.01473684210526316,0.5026315789473685,0.004128002026758082,0.029684846366067594,-0.025556844339309513,0.13906091936109038,1.0284026704982454,0.048732539483562896,False
0.01473684210526316,0.518421052631579,0.004391426513978631,0.030334567466189188,-0.025943140952210557,0.1447664127360082,1.0715319084909691,0.04949205339407051,False
0.01473684210526316,0.5342105263157895,0.004662998150288473,0.03097837802085353,-0.026315379870565057,0.1505242833291501,1.1156653790039388,0.05024008652267668,False
0.01473684210526316,0.55,0.0049427169356876105,0.03161650419742854,-0.026673787261740932,0.15633344233198354,1.160833667799192,0.05097714427516078,False
0.019473684210526317,0.25,0.0017832316487172005,0.018206143948862993,-0.01642291230014579,0.0979466961112634,0.44995250354508715,0.045415892692358656,False
0.019473684210526317,0.2657894736842105,0.00201559513003481,0.019003623174698225,-0.016988028044663414,0.10606372855879455,0.4811736848510427,0.04682812180432066,False
0.019473684210526317,0.28157894736842104,0.0022621849469432937,0.019787006338095364,-0.01752482139115207,0.11432679144535235,0.5129097264846372,0.04819899038773264,False
0.019473684210526317,0.2973684210526316,0.002523001099442653,0.020557313499891646,-0.018034312400448994,0.1227300979505883,0.545191214207908,0.04953193270076585,False
0.019473684210526317,0.31315789473684214,0.0027980435875328835,0.021315440959986758,-0.018517397372453875,0.13126838861956255,0.5780487337828928,0.050829932517657835,False
0.019473684210526317,0.32894736842105265,0.0030873124112139896,0.02206218172913726,-0.018974869317923273,0.13993685887994534,0.6115128709716303,0.05209560175702073,False
0.019473684210526317,0.3447368421052632,0.003390807570485972,0.02279824179753759,-0.019407434227051615,0.14873109955576527,0.6456142115361582,0.053331242298511605,False
0.019473684210526317,0.3605263157894737,0.003708529065348824,0.023524253215699068,-0.019815724150350246,0.15764704755319978,0.6803833412385136,0.054538895182970185,False
0.019473684210526317,0.37631578947368427,0.004040476895802554,0.02424078472413481,-0.020200307828332254,0.16668094460571406,0.7158508458407359,0.05572038020738425,False
0.019473684210526317,0.39210526315789473,0.004386651061847154,0.02494835047448543,-0.020561699412638277,0.1758293024756632,0.752047311104862,0.05687732811175218,False
0.019473684210526317,0.4078947368421053,0.004747051563482632,0.025647417247623108,-0.020900365684140478,0.1850888733805182,0.78900332279293,0.05801120698458501,False
0.019473684210526317,0.42368421052631583,0.005121678400708983,0.02633841047577024,-0.021216732075061258,0.19445662468586022,0.826749466666978,0.05912334410776188,False
0.019473684210526317,0.43947368421052635,0.0055105315735262065,0.027021719303866924,-0.02151118773034072,0.203929717112324,0.8653163284890443,0.060214944168049137,False
0.019473684210526317,0.4552631578947369,0.005913611081934304,0.027697700872382502,-0.0217840897904482,0.21350548585896498,0.9047344940211657,0.061287104547675615,False
0.019473684210526317,0.4710526315789474,0.006330916925933278,0.02836668396410821,-0.022035767038174933,0.22318142416447614,0.9450345490253813,0.06234082824693766,False
0.019473684210526317,0.48684210526315796,0.006762449105523124,0.02902897212748004,-0.022266523021956915,0.23295516891972579,0.9862470792637285,0.06337703487218879,False
0.019473684210526317,0.5026315789473685,0.007208207620703846,0.029684846366067594,-0.022476638745363747,0.24282448801700607,1.0284026704982454,0.06439657003185095,False
0.019473684210526317,0.518421052631579,0.007668192471475441,0.030334567466189188,-0.022666374994713745,0.25278726917805516,1.0715319084909691,0.06540021341359319,False
0.019473684210526317,0.5342105263157895,0.008142403657837905,0.03097837802085353,-0.022835974363015626,0.26284151004796735,1.1156653790039388,0.06638868576210849,False
0.019473684210526317,0.55,0.008630841179791252,0.03161650419742854,-0.02298566301763729,0.27298530937817034,1.160833667799192,0.06736265493503388,False
0.024210526315789474,0.25,0.0027562587061253437,0.018206143948862993,-0.01544988524273765,0.15139167930710978,0.44995250354508715,0.05646300172563508,False
0.024210526315789474,0.2657894736842105,0.003115412195145111,0.019003623174698225,-0.015888210979553116,0.16393780104485697,0.4811736848510427,0.058218746026993236,False
0.024210526315789474,0.28157894736842104,0.0034965546732885376,0.019787006338095364,-0.016290451664806825,0.17670963528003322,0.5129097264846372,0.05992306913069464,False
0.024210526315789474,0.2973684210526316,0.003899686140555626,0.020557313499891646,-0.01665762735933602,0.18969823759199764,0.545191214207908,0.06158024065500619,False
0.024210526315789474,0.31315789473684214,0.00432480659694637,0.021315440959986758,-0.016990634363040387,0.20289547868443708,0.5780487337828928,0.06319397015708812,False
0.024210526315789474,0.32894736842105265,0.0047719160424607755,0.02206218172913726,-0.017290265686676486,0.21629393235205577,0.6115128709716303,0.06476750488710686,False
0.024210526315789474,0.3447368421052632,0.005241014477098841,0.02279824179753759,-0.017557227320438747,0.22988678353542671,0.6456142115361582,0.0663037066413928,False
0.024210526315789474,0.3605263157894737,0.005732101900860564,0.023524253215699068,-0.017792151314838505,0.24366775209829858,0.6803833412385136,0.06780511293017914,False
0.024210526315789474,0.37631578947368427,0.006245178313745948,0.02424078472413481,-0.01799560641038886,0.25763102906186336,0.7158508458407359,0.06927398620377502,False
0.024210526315789474,0.39210526315789473,0.0067802437157549866,0.02494835047448543,-0.018168106758730443,0.27177122281848304,0.752047311104862,0.07071235386866487,False
0.024210526315789474,0.4078947368421053,0.007337298106887691,0.025647417247623108,-0.018310119140735416,0.286083313420874,0.78900332279293,0.07212204111597055,False
0.024210526315789474,0.42368421052631583,0.007916341487144053,0.02633841047577024,-0.018422068988626188,0.30056261346623836,0.826749466666978,0.07350469807992017,False
0.024210526315789474,0.43947368421052635,0.00851737385652407,0.027021719303866924,-0.018504345447342856,0.315204734411744,0.8653163284890443,0.0748618224791962,False
0.024210526315789474,0.4552631578947369,0.009140395215027745,0.027697700872382502,-0.018557305657354757,0.3300055573977865,0.9047344940211657,0.07619477862683996,False
0.024210526315789474,0.4710526315789474,0.009785405562655088,0.02836668396410821,-0.01858127840145312,0.34496120783932177,0.9450345490253813,0.07750481349619276,False
0.024210526315789474,0.48684210526315796,0.010452404899406085,0.02902897212748004,-0.018576567228073958,0.3600680331878303,0.9862470792637285,0.07879307038164012,False
0.024210526315789474,0.5026315789473685,0.011141393225280741,0.029684846366067594,-0.018543453140786852,0.37532258337763674,1.0284026704982454,0.08006060058013903,False
0.024210526315789474,0.518421052631579,0.01185237054027906,0.030334567466189188,-0.018482196925910126,0.39072159355789976,1.0715319084909691,0.08130837343311584,False
0.024210526315789474,0.5342105263157895,0.01258533684440103,0.03097837802085353,-0.0183930411764525,0.4062619687812265,1.1156653790039388,0.08253728500154028,False
0.024210526315789474,0.55,0.013340292137646663,0.03161650419742854,-0.01827621205978188,0.4219407703756086,1.160833667799192,0.08374816559490698,False
