Normalized_Position_s,Alpha_Healthy,Alpha_Scoliotic,Stiffness_Healthy,Stiffness_Scoliotic,Lateral_Defect_Magnitude
0.0,1.0,0.999999963988746,1.0,0.9999999423819947,0.0002683701023220095
0.010101010101010102,0.9999195578357619,0.9999194964033933,0.9998712977139725,0.9998711994300925,0.0003505347808595276
0.020202020202020204,0.9996796410245565,0.9996795371884946,0.999487507743189,0.9994873416587222,0.00045578361848699244
0.030303030303030304,0.9992844480853763,0.9992842741880689,0.9988555265482362,0.9988552485116605,0.0005899523280492384
0.04040404040404041,0.9987408758598063,0.9987405873011433,0.9979866696905704,0.9979862085781062,0.0007601612689343324
0.05050505050505051,0.9980583721286691,0.9980578976944852,0.9968964113409031,0.9968956537202683,0.000975046142076148
0.06060606060606061,0.997248736353361,0.9972479634531707,0.9956040337267003,0.9956028004891972,0.001245016794994344
0.07070707070707072,0.9963258751143924,0.9963246274944034,0.9941321995379678,0.9941302106814894,0.0015825442532597335
0.08080808080808081,0.9953055200257594,0.9953035244906802,0.992506462554998,0.992503284690856,0.0020024751154276046
0.09090909090909091,0.9942049166876552,0.994201753959633,0.9907547330927259,0.9907497020611284,0.0025223712285405734
0.10101010101010102,0.9930424935864739,0.993037526547565,0.9889067152547536,0.9888988233053648,0.0031628710897506486
0.11111111111111112,0.9918375197772582,0.991829789863624,0.9869933325103225,0.9869810656487366,0.003948067695211428
0.12121212121212122,0.9906097597349824,0.9905978390456502,0.9850461568657597,0.9850272629775296,0.004905895591425703
0.13131313131313133,0.9893791330041611,0.989360915620611,0.9830968550592525,0.983068017086123,0.006068517703210735
0.14141414141414144,0.9881653852916014,0.9881377962530312,0.9811766629507992,0.9811330435070376,0.007472700160602379
0.15151515151515152,0.9869877765207047,0.9869463707710437,0.9793158968010276,0.9792505110225076,0.009160160888407596
0.16161616161616163,0.9858647901817376,0.9858032065662862,0.9775435076160651,0.9774463696610975,0.011177875241987897
0.17171717171717174,0.9848138671472975,0.9847230942571691,0.9758866823404919,0.9757436578907308,0.013578319578146418
0.18181818181818182,0.9838511660399144,0.9837185675998799,0.9743704935344794,0.9741617761926075,0.01641963146858846
0.19191919191919193,0.9829913512887828,0.9827993892900762,0.9730175973668377,0.9727157116711573,0.0197656634420186
