L,Deficit_Ratio,Cobb_Angle,Failed_Proteins,Failure_Count
0.25,0.509614355852422,5.0,,0
0.2603448275862069,0.552661922843808,5.0,,0
0.2706896551724138,0.5974546614699802,5.0,,0
0.2810344827586207,0.6439925717309387,5.0,,0
0.2913793103448276,0.6922756536266833,5.0,,0
0.3017241379310345,0.7423039071572137,5.0,,0
0.3120689655172414,0.7940773323225296,5.0,,0
0.3224137931034483,0.847595929122632,5.0,,0
0.3327586206896551,0.9028596975575198,5.0,,0
0.3431034482758621,0.9598686376271934,5.0,,0
0.3534482758620689,1.018622749331654,13.0,VIM,1
0.3637931034482758,1.079122032670899,13.0,VIM,1
0.3741379310344828,1.1413664876449319,13.0,VIM,1
0.3844827586206897,1.2053561142537492,13.0,VIM,1
0.3948275862068965,1.2710909124973528,13.0,VIM,1
0.4051724137931035,1.3385708823757418,13.0,VIM,1
0.4155172413793103,1.4077960238889173,13.0,VIM,1
0.4258620689655172,1.4787663370368802,13.0,"VIM, GHR",2
0.4362068965517242,1.5514818218196267,13.0,"VIM, GHR",2
0.4465517241379311,1.6259424782371603,18.0,"VIM, GHR, LMNA",3
0.4568965517241379,1.702148306289479,33.0,"VIM, GHR, LMNA, PIEZO2",4
0.4672413793103449,1.780099305976584,33.0,"VIM, GHR, LMNA, PIEZO2",4
0.4775862068965517,1.8597954772984755,33.0,"VIM, GHR, LMNA, PIEZO2",4
0.4879310344827586,1.9412368202551535,38.0,"VIM, GHR, LMNA, PIEZO2, PIEZO1",5
0.4982758620689655,2.0244233348466167,38.0,"VIM, GHR, LMNA, PIEZO2, PIEZO1",5
0.5086206896551724,2.1093550210728647,38.0,"VIM, GHR, LMNA, PIEZO2, PIEZO1",5
0.5189655172413794,2.1960318789339004,38.0,"VIM, GHR, LMNA, PIEZO2, PIEZO1",5
0.5293103448275862,2.2844539084297217,38.0,"VIM, GHR, LMNA, PIEZO2, PIEZO1",5
0.5396551724137931,2.374621109560326,38.0,"VIM, GHR, LMNA, PIEZO2, PIEZO1",5
0.55,2.466533482325721,38.0,"VIM, GHR, LMNA, PIEZO2, PIEZO1",5
