chi_kappa,L,P_counter,Supply,Deficit
0.01,0.15,0.001064387197338999,0.026611765893406417,-0.025547378696067418
0.01,0.16020408163265307,0.0012141323022877679,0.03035556562111041,-0.029141433318822643
0.01,0.1704081632653061,0.0013737300158580378,0.03434566796247913,-0.03297193794662109
0.01,0.18061224489795918,0.0015431804562930638,0.03858207291751259,-0.037038892461219525
0.01,0.19081632653061223,0.001722483741844283,0.04306478048621078,-0.04134229674436649
0.01,0.2010204081632653,0.001911639990753717,0.047793790668573734,-0.04588215067782002
0.01,0.21122448979591835,0.0021106493213012122,0.052769103464601376,-0.05065845414330016
0.01,0.22142857142857142,0.0023195118517719783,0.057990718874293794,-0.05567120702252182
0.01,0.2316326530612245,0.002538227700441453,0.06345863689765094,-0.06092040919720949
0.01,0.24183673469387754,0.0027667969856395116,0.06917285753467281,-0.0664060605490333
0.01,0.2520408163265306,0.0030052198255995674,0.07513338078535943,-0.07212816095975987
0.01,0.26224489795918365,0.003253496338666294,0.08134020664971078,-0.07808671031104449
0.01,0.2724489795918367,0.0035116266432203675,0.08779333512772688,-0.08428170848450652
0.01,0.28265306122448974,0.00377961085758103,0.09449276621940768,-0.09071315536182664
0.01,0.2928571428571428,0.004057449100056839,0.10143849992475322,-0.09738105082469638
0.01,0.3030612244897959,0.0043451414890256085,0.10863053624376352,-0.10428539475473791
0.01,0.31326530612244896,0.004642688142803167,0.11606887517643857,-0.11142618703363541
0.01,0.32346938775510203,0.004950089179814945,0.12375351672277835,-0.1188034275429634
0.01,0.3336734693877551,0.005267344718500789,0.13168446088278285,-0.12641711616428206
0.01,0.3438775510204082,0.0055944548770842355,0.1398617076564521,-0.13426725277936785
0.01,0.3540816326530612,0.005931419774129694,0.14828525704378606,-0.14235383726965636
0.01,0.36428571428571427,0.006278239527875944,0.1569551090447848,-0.15067686951690884
0.01,0.3744897959183673,0.006634914257082324,0.1658712636594482,-0.1592363494023659
0.01,0.38469387755102036,0.007001444079745132,0.1750337208877764,-0.1680322768080313
0.01,0.39489795918367343,0.007377829114623831,0.18444248072976926,-0.17706465161514542
0.01,0.4051020408163265,0.007764069480039122,0.19409754318542696,-0.18633347370538783
0.01,0.4153061224489796,0.008160165294480435,0.20399890825474937,-0.19583874296026893
0.01,0.42551020408163265,0.008566116676352964,0.21414657593773648,-0.20558045926138352
0.01,0.4357142857142857,0.008981923744239837,0.22454054623438838,-0.21555862249014854
0.01,0.4459183673469388,0.009407586616601139,0.235180819144705,-0.22577323252810388
0.01,0.45612244897959175,0.009843105411810481,0.24606739466868624,-0.23622428925687575
0.01,0.4663265306122448,0.010288480248615041,0.2572002728063323,-0.24691179255771725
0.01,0.4765306122448979,0.010743711245315988,0.2685794535576432,-0.2578357423123272
0.01,0.486734693877551,0.011208798520523927,0.28020493692261866,-0.26899613840209474
0.01,0.49693877551020404,0.011683742192901494,0.29207672290125897,-0.2803929807083575
0.01,0.5071428571428571,0.012168542380579139,0.30419481149356403,-0.2920262691129849
0.01,0.5173469387755102,0.01266319920259681,0.31655920269953386,-0.3038960034969371
0.01,0.5275510204081633,0.01316771277714446,0.3291698965191683,-0.3160021837420238
0.01,0.5377551020408163,0.013682083223183025,0.3420268929524676,-0.32834480972928454
0.01,0.5479591836734693,0.014206310658991179,0.35513019199943135,-0.34092388134044016
0.01,0.5581632653061224,0.014740395203371781,0.36847979366006006,-0.3537393984566883
0.01,0.5683673469387754,0.015284336974660771,0.3820756979343536,-0.36679136095969284
0.01,0.5785714285714285,0.01583813609147396,0.39591790482231165,-0.3800797687308377
0.01,0.5887755102040816,0.016401792672803037,0.41000641432393464,-0.3936046216511316
0.01,0.5989795918367347,0.016975306837385427,0.4243412264392223,-0.4073659196018369
0.01,0.6091836734693877,0.01755867870297939,0.4389223411681747,-0.4213636624651953
0.01,0.6193877551020408,0.018151908389015838,0.4537497585107918,-0.435597850121776
0.01,0.6295918367346939,0.018754996013828587,0.4688234784670737,-0.4500684824532451
0.01,0.639795918367347,0.01936794169635873,0.4841435010370203,-0.46477555934066156
0.01,0.65,0.019990745555080965,0.49970982622063165,-0.4797190806655507
0.41795918367346935,0.15,1.8593769406057226,0.026611765893406417,1.8327651747123161
0.41795918367346935,0.16020408163265307,2.1209665161185973,0.03035556562111041,2.090610950497487
0.41795918367346935,0.1704081632653061,2.399767603873736,0.03434566796247913,2.365421935911257
0.41795918367346935,0.18061224489795918,2.695780410424975,0.03858207291751259,2.657198337507462
0.41795918367346935,0.19081632653061223,3.0090051423427955,0.04306478048621078,2.9659403618565845
0.41795918367346935,0.2010204081632653,3.339442006214339,0.047793790668573734,3.291648215545765
0.41795918367346935,0.21122448979591835,3.6870912086433973,0.052769103464601376,3.634322105178796
0.41795918367346935,0.22142857142857142,4.051952956250409,0.057990718874293794,3.993962237376115
0.41795918367346935,0.2316326530612245,4.434027455672494,0.06345863689765094,4.370568818774843
0.41795918367346935,0.24183673469387754,4.833314913563417,0.06917285753467281,4.764142056028744
0.41795918367346935,0.2520408163265306,5.249815536593622,0.07513338078535943,5.174682155808262
0.41795918367346935,0.26224489795918365,5.683529531450216,0.08134020664971078,5.602189324800506
0.41795918367346935,0.2724489795918367,6.134457104836972,0.08779333512772688,6.046663769709245
0.41795918367346935,0.28265306122448974,6.602598463474349,0.09449276621940768,6.508105697254941
0.41795918367346935,0.2928571428571428,7.087953814099475,0.10143849992475322,6.986515314174722
0.41795918367346935,0.3030612244897959,7.590523363466169,0.10863053624376352,7.4818928272224055
0.41795918367346935,0.31326530612244896,8.11030731834491,0.11606887517643857,7.994238443168472
0.41795918367346935,0.32346938775510203,8.647305885522899,0.12375351672277835,8.52355236880012
0.41795918367346935,0.3336734693877551,9.201519271803983,0.13168446088278285,9.0698348109212
0.41795918367346935,0.3438775510204082,9.772947684008741,0.1398617076564521,9.63308597635229
0.41795918367346935,0.3540816326530612,10.361591328974413,0.14828525704378606,10.213306071930626
0.41795918367346935,0.36428571428571427,10.96745041355496,0.1569551090447848,10.810495304510175
0.41795918367346935,0.3744897959183673,11.590525144621017,0.1658712636594482,11.424653880961568
0.41795918367346935,0.38469387755102036,12.230815729059973,0.1750337208877764,12.055782008172196
0.41795918367346935,0.39489795918367343,12.888322373775857,0.18444248072976926,12.703879893046087
0.41795918367346935,0.4051020408163265,13.563045285689437,0.19409754318542696,13.36894774250401
0.41795918367346935,0.4153061224489796,14.254984671738214,0.20399890825474937,14.050985763483464
0.41795918367346935,0.42551020408163265,14.96414073887638,0.21414657593773648,14.749994162938643
0.41795918367346935,0.4357142857142857,15.69051369407482,0.22454054623438838,15.465973147840431
0.41795918367346935,0.4459183673469388,16.4341037443212,0.235180819144705,16.198922925176493
0.41795918367346935,0.45612244897959175,17.19491109661983,0.24606739466868624,16.948843701951144
0.41795918367346935,0.4663265306122448,17.972935957991826,0.2572002728063323,17.715735685185493
0.41795918367346935,0.4765306122448979,18.768178535474988,0.2685794535576432,18.499599081917346
0.41795918367346935,0.486734693877551,19.58063903612384,0.28020493692261866,19.300434099201222
0.41795918367346935,0.49693877551020404,20.410317667009682,0.29207672290125897,20.118240944108422
0.41795918367346935,0.5071428571428571,21.257214635220496,0.30419481149356403,20.953019823726933
0.41795918367346935,0.5173469387755102,22.12133014786102,0.31655920269953386,21.804770945161486
0.41795918367346935,0.5275510204081633,23.002664412052777,0.3291698965191683,22.67349451553361
0.41795918367346935,0.5377551020408163,23.901217634933992,0.3420268929524676,23.559190741981524
0.41795918367346935,0.5479591836734693,24.816990023659635,0.35513019199943135,24.461859831660203
0.41795918367346935,0.5581632653061224,25.749981785401445,0.36847979366006006,25.381501991741384
0.41795918367346935,0.5683673469387754,26.7001931273479,0.3820756979343536,26.318117429413547
0.41795918367346935,0.5785714285714285,27.667624256704315,0.39591790482231165,27.271706351882003
0.41795918367346935,0.5887755102040816,28.652274632605135,0.41000641432393464,28.2422682182812
0.41795918367346935,0.5989795918367347,29.654145932285594,0.4243412264392223,29.229804705846373
0.41795918367346935,0.6091836734693877,30.673237640641275,0.4389223411681747,30.2343152994731
0.41795918367346935,0.6193877551020408,31.709549964944415,0.4537497585107918,31.255800206433623
0.41795918367346935,0.6295918367346939,32.763083112484026,0.4688234784670737,32.29425963401695
0.41795918367346935,0.639795918367347,33.83383729056589,0.4841435010370203,33.34969378952887
0.41795918367346935,0.65,34.92181270651265,0.49970982622063165,34.422102880292016
0.8259183673469387,0.15,7.260623965983656,0.026611765893406417,7.234012200090249
0.8259183673469387,0.16020408163265307,8.282097073314732,0.03035556562111041,8.251741507693621
0.8259183673469387,0.1704081632653061,9.370778886717142,0.03434566796247913,9.336433218754664
0.8259183673469387,0.18061224489795918,10.526670212756624,0.03858207291751259,10.488088139839112
0.8259183673469387,0.19081632653061223,11.749771858063964,0.04306478048621078,11.706707077577754
0.8259183673469387,0.2010204081632653,13.040084629334862,0.047793790668573734,12.992290838666287
0.8259183673469387,0.21122448979591835,14.397609333330182,0.052769103464601376,14.34484022986558
0.8259183673469387,0.22142857142857142,15.82234677687576,0.057990718874293794,15.764356058001466
0.8259183673469387,0.2316326530612245,17.314297766862467,0.06345863689765094,17.250839129964817
0.8259183673469387,0.24183673469387754,18.873463110246302,0.06917285753467281,18.804290252711628
0.8259183673469387,0.2520408163265306,20.499843614048345,0.07513338078535943,20.424710233262985
0.8259183673469387,0.26224489795918365,22.193440085354734,0.08134020664971078,22.112099878705024
0.8259183673469387,0.2724489795918367,23.954253331316682,0.08779333512772688,23.866459996188954
0.8259183673469387,0.28265306122448974,25.782284159150567,0.09449276621940768,25.68779139293116
0.8259183673469387,0.2928571428571428,27.67753337613781,0.10143849992475322,27.576094876213055
0.8259183673469387,0.3030612244897959,29.640001789625085,0.10863053624376352,29.531371253381323
0.8259183673469387,0.31326530612244896,31.669690207024242,0.11606887517643857,31.553621331847804
0.8259183673469387,0.32346938775510203,33.76659943581198,0.12375351672277835,33.642845919089204
0.8259183673469387,0.3336734693877551,35.930730283530586,0.13168446088278285,35.799045822647805
0.8259183673469387,0.3438775510204082,38.162083557787234,0.1398617076564521,38.022221850130784
0.8259183673469387,0.3540816326530612,40.46066006625428,0.14828525704378606,40.31237480921049
0.8259183673469387,0.36428571428571427,42.82646061666957,0.1569551090447848,42.669505507624784
0.8259183673469387,0.3744897959183673,45.25948601683576,0.1658712636594482,45.09361475317631
0.8259183673469387,0.38469387755102036,47.75973707462107,0.1750337208877764,47.584703353733296
0.8259183673469387,0.39489795918367343,50.327214597958836,0.18444248072976926,50.142772117229065
0.8259183673469387,0.4051020408163265,52.9619193948475,0.19409754318542696,52.76782185166207
0.8259183673469387,0.4153061224489796,55.66385227335089,0.20399890825474937,55.459853365096144
0.8259183673469387,0.42551020408163265,58.4330140415982,0.21414657593773648,58.21886746566046
0.8259183673469387,0.4357142857142857,61.269405507783766,0.22454054623438838,61.04486496154938
0.8259183673469387,0.4459183673469388,64.17302748016708,0.235180819144705,63.93784666102238
0.8259183673469387,0.45612244897959175,67.14388076707338,0.24606739466868624,66.8978133724047
0.8259183673469387,0.4663265306122448,70.1819661768926,0.2572002728063323,69.92476590408627
0.8259183673469387,0.4765306122448979,73.28728451808063,0.2685794535576432,73.01870506452298
0.8259183673469387,0.486734693877551,76.45983659915807,0.28020493692261866,76.17963166223545
0.8259183673469387,0.49693877551020404,79.69962322871142,0.29207672290125897,79.40754650581016
0.8259183673469387,0.5071428571428571,83.00664521539211,0.30419481149356403,82.70245040389855
