Anisotropy,L_crit
1.0,0.8
1.1428571428571428,0.8
1.2857142857142856,0.8
1.4285714285714286,0.8
1.5714285714285714,0.7454545454545456
1.7142857142857142,0.6787878787878789
1.8571428571428572,0.6303030303030304
2.0,0.5818181818181819
2.142857142857143,0.5454545454545455
2.2857142857142856,0.5090909090909091
2.4285714285714284,0.4787878787878788
2.571428571428571,0.4545454545454546
2.7142857142857144,0.43030303030303035
2.8571428571428568,0.41212121212121217
3.0,0.38787878787878793
3.142857142857143,0.3757575757575758
3.2857142857142856,0.3575757575757576
3.4285714285714284,0.3393939393939394
3.571428571428571,0.32727272727272727
3.714285714285714,0.3151515151515152
3.8571428571428568,0.30303030303030304
4.0,0.29090909090909095
4.142857142857142,0.2848484848484849
4.285714285714286,0.27272727272727276
4.428571428571429,0.2666666666666667
4.571428571428571,0.2545454545454546
4.7142857142857135,0.2484848484848485
4.857142857142857,0.24242424242424243
5.0,0.2363636363636364
5.142857142857142,0.23030303030303031
5.285714285714286,0.22424242424242424
5.428571428571428,0.2181818181818182
5.571428571428571,0.21212121212121213
5.714285714285714,0.20606060606060608
5.857142857142857,0.2
6.0,0.2
6.142857142857142,0.2
6.285714285714286,0.2
6.428571428571428,0.2
6.571428571428571,0.2
6.7142857142857135,0.2
6.857142857142857,0.2
7.0,0.2
7.142857142857142,0.2
7.285714285714286,0.2
7.428571428571428,0.2
7.571428571428571,0.2
7.7142857142857135,0.2
7.857142857142857,0.2
8.0,0.2
