Age_Years,Growth_Velocity_cm_yr,Spinal_Length_cm,Energy_Supply_L2,Energy_Demand_L4,Energy_Balance,Mechanosensory_Fidelity
5.0,5.000000000063666,35.16666666666879,1.5,1.0,0.5,1.0
5.083333333333333,5.00000000010387,35.33333333333892,1.5142517014445587,1.007609977223524,0.5066417242210346,1.0
5.166666666666667,5.000000000168646,35.500000000011205,1.5285707868204834,1.01527437397292,0.5132964128475634,1.0
5.25,5.000000000272502,35.66666666668696,1.5429572561278917,1.0229937048489257,0.519963551278966,1.0
5.333333333333333,5.000000000438196,35.83333333336823,1.5574111093669658,1.0307684868739642,0.5266426224930016,1.0
5.416666666666667,5.000000000701249,36.00000000005827,1.5719323465379962,1.0385992394921693,0.5333331070458269,1.0
5.5,5.000000001116816,36.16666666676217,1.5865209676414391,1.0464864845694157,0.5400344830720234,1.0
5.583333333333333,5.000000001770095,36.333333333487836,1.6011769726780094,1.0544307463933713,0.5467462262846381,1.0
5.666666666666667,5.000000002792012,36.50000000024757,1.6159003616488228,1.0624325516735773,0.5534678099752455,1.0
5.75,5.000000004382718,36.666666667060326,1.6306911345556059,1.0704924295415645,0.5601987050140413,1.0
5.833333333333333,5.000000006846607,36.83333333395521,1.6455492914010235,1.0786109115510387,0.5669383798499847,1.0
5.916666666666667,5.000000010644196,37.000000000976684,1.6604748321891671,1.0867885316781547,0.5736863005110124,1.0
6.0,5.0000000164685705,37.166666668192306,1.6754677569262797,1.0950258263219272,0.5804419306043525,1.0
6.083333333333333,5.000000025357392,37.33333333570422,1.6905280656218484,1.103323334304852,0.5872047313169964,1.0
6.166666666666666,5.000000038856068,37.50000000366609,1.7056557582902112,1.111681596873821,0.5939741614163903,1.0
6.25,5.000000059254143,37.66666667230789,1.7208508349529263,1.1201011577014768,0.6007496772514496,1.0
6.333333333333333,5.000000089925775,37.833333341972086,1.7361132956422498,1.1285825628882116,0.6075307327540382,1.0
6.416666666666666,5.000000135817355,38.000000013165995,1.7514431404061868,1.1371263609650772,0.6143167794411095,1.0
6.5,5.000000204141802,38.16666668663739,1.7668403693158248,1.1457331028980289,0.6211072664177959,1.0
6.583333333333333,5.00000030536146,38.33333336348277,1.7823049824758899,1.1544033420940552,0.6279016403818347,1.0
6.666666666666666,5.000000454571394,38.50000004530182,1.7978369800398755,1.1631376344100013,0.6346993456298742,1.0
6.75,5.000000673434845,38.66666673441631,1.8134363622315934,1.171936538165185,0.6414998240664085,1.0
6.833333333333333,5.000000992875208,38.83333343417882,1.8291031293757132,1.1808006141593461,0.6483025152163671,1.0
6.916666666666666,5.000001456798047,39.00000014940542,1.8448372819407863,1.189730425698041,0.6551068562427453,1.0
7.0,5.000002127206425,39.166666886978966,1.8606388205995152,1.1987265386283599,0.6619122819711554,1.0
7.083333333333333,5.000003091188743,39.33333365668526,1.8765077463127269,1.2077895213888987,0.6687182249238282,1.0
7.166666666666666,5.0000044704064575,39.50000047236548,1.8924440604456547,1.2169199450792592,0.6755241153663956,1.0
7.25,5.000006433896967,39.66666735349538,1.9084477649281004,1.2261183835561804,0.68232938137192,1.0
7.333333333333333,5.000009215243032,39.83333432733681,1.9245188624737242,1.2353854135657412,0.689133448907983,1.0
7.416666666666666,5.0000131354539485,40.00000143185194,1.9406573568785532,1.2447216149241158,0.6959357419544374,1.0
7.5,5.00001863326586,40.16666871962747,1.9568632534249828,1.2541275707633108,0.702735682661672,1.0
