chi_kappa,L,R_deficit
0.0574,0.5026,1.0218
0.0574,0.5184,0.9999
0.0574,0.5342,0.9792
0.0574,0.55,0.9594
0.0621,0.25,1.9526
0.0621,0.2658,1.8706
0.0621,0.2816,1.7966
0.0621,0.2974,1.7293
0.0621,0.3132,1.6677
0.0621,0.3289,1.6113
0.0621,0.3447,1.5593
0.0621,0.3605,1.5112
0.0621,0.3763,1.4665
0.0621,0.3921,1.4249
0.0621,0.4079,1.3861
0.0621,0.4237,1.3497
0.0621,0.4395,1.3156
0.0621,0.4553,1.2835
0.0621,0.4711,1.2532
0.0621,0.4868,1.2246
0.0621,0.5026,1.1975
0.0621,0.5184,1.1719
0.0621,0.5342,1.1475
0.0621,0.55,1.1244
0.0668,0.25,2.2618
0.0668,0.2658,2.1669
0.0668,0.2816,2.0811
0.0668,0.2974,2.0031
0.0668,0.3132,1.9319
0.0668,0.3289,1.8665
0.0668,0.3447,1.8062
0.0668,0.3605,1.7505
0.0668,0.3763,1.6987
0.0668,0.3921,1.6505
0.0668,0.4079,1.6056
0.0668,0.4237,1.5634
0.0668,0.4395,1.5239
0.0668,0.4553,1.4867
0.0668,0.4711,1.4516
0.0668,0.4868,1.4185
0.0668,0.5026,1.3872
0.0668,0.5184,1.3575
0.0668,0.5342,1.3293
0.0668,0.55,1.3024
0.0716,0.25,2.5937
0.0716,0.2658,2.4849
0.0716,0.2816,2.3865
0.0716,0.2974,2.2971
0.0716,0.3132,2.2154
0.0716,0.3289,2.1404
0.0716,0.3447,2.0713
0.0716,0.3605,2.0073
0.0716,0.3763,1.948
0.0716,0.3921,1.8928
0.0716,0.4079,1.8412
0.0716,0.4237,1.7929
0.0716,0.4395,1.7475
0.0716,0.4553,1.7049
0.0716,0.4711,1.6647
0.0716,0.4868,1.6267
0.0716,0.5026,1.5908
0.0716,0.5184,1.5567
0.0716,0.5342,1.5243
0.0716,0.55,1.4936
0.0763,0.25,2.9483
0.0763,0.2658,2.8246
0.0763,0.2816,2.7128
0.0763,0.2974,2.6111
0.0763,0.3132,2.5183
0.0763,0.3289,2.433
0.0763,0.3447,2.3545
0.0763,0.3605,2.2818
0.0763,0.3763,2.2144
0.0763,0.3921,2.1516
0.0763,0.4079,2.0929
0.0763,0.4237,2.038
0.0763,0.4395,1.9865
0.0763,0.4553,1.938
0.0763,0.4711,1.8923
0.0763,0.4868,1.8491
0.0763,0.5026,1.8083
0.0763,0.5184,1.7695
0.0763,0.5342,1.7328
0.0763,0.55,1.6978
0.0811,0.25,3.3257
0.0811,0.2658,3.1861
0.0811,0.2816,3.06
0.0811,0.2974,2.9453
0.0811,0.3132,2.8406
0.0811,0.3289,2.7444
0.0811,0.3447,2.6558
0.0811,0.3605,2.5739
0.0811,0.3763,2.4978
0.0811,0.3921,2.4269
0.0811,0.4079,2.3608
0.0811,0.4237,2.2989
0.0811,0.4395,2.2407
0.0811,0.4553,2.186
0.0811,0.4711,2.1345
0.0811,0.4868,2.0858
0.0811,0.5026,2.0397
0.0811,0.5184,1.996
0.0811,0.5342,1.9545
0.0811,0.55,1.9151
0.0858,0.25,3.7258
0.0858,0.2658,3.5694
0.0858,0.2816,3.4281
0.0858,0.2974,3.2997
0.0858,0.3132,3.1823
0.0858,0.3289,3.0746
0.0858,0.3447,2.9753
0.0858,0.3605,2.8835
0.0858,0.3763,2.7983
0.0858,0.3921,2.7189
0.0858,0.4079,2.6448
0.0858,0.4237,2.5754
0.0858,0.4395,2.5103
0.0858,0.4553,2.449
0.0858,0.4711,2.3913
0.0858,0.4868,2.3367
0.0858,0.5026,2.2851
0.0858,0.5184,2.2361
0.0858,0.5342,2.1897
0.0858,0.55,2.1455
0.0905,0.25,4.1486
0.0905,0.2658,3.9745
0.0905,0.2816,3.8171
0.0905,0.2974,3.6741
0.0905,0.3132,3.5434
