L,Demand_IntegratedMoment,Cobb_angle,EI,Mass,Supply_L2,Supply_L3
0.25,1.4157726319562094,1.9533640505876944,12.142558524467116,0.107421875,2.7781254897893803,1.9843753498495578
0.2603448275862069,1.6650577196761238,1.9526570737091917,14.280584573701844,0.12131641377772769,3.012796161364456,2.2410454205223296
0.2706896551724138,1.9458981873079089,1.951950096830689,16.689249452006354,0.13636021554286765,3.256980508814195,2.5189455166691066
0.2810344827586207,2.260850896432534,1.951243119952186,19.390482416017708,0.15259894637439006,3.5106785321385994,2.8189192154610425
0.2913793103448276,2.612572326614641,1.9505361430736832,22.407067108995165,0.17007827235126496,3.77389023133767,3.1418100940692923
0.3017241379310345,3.0038185754025433,1.950913265374328,25.76264156082019,0.1888438595524622,4.046615606411405,3.4884617296650045
0.3120689655172414,3.437445358328233,1.9521615001990642,29.481698187996496,0.20894137405695193,4.328854657359806,3.859717699419335
0.3224137931034483,3.9164080089073763,1.9534097350238007,33.58958379365004,0.2304164819437042,4.620607384182872,4.256421580503435
0.33275862068965517,4.4437614786393045,1.9546579698485371,38.11249956752891,0.2533148492916889,4.921873786880601,4.679416950088454
0.3431034482758621,5.022660337007037,1.9559062046732736,43.07750108600353,0.2776821421798762,5.232653865452998,5.129547385345551
0.35344827586206895,5.656358771477262,1.9571544394980098,48.51249831206652,0.30356402668723603,5.552947619900058,5.607656463445871
0.36379310344827587,6.34821058750033,1.9584026743227463,54.44625559533262,0.3310061688927385,5.882755050221785,6.114587761560577
0.3741379310344828,7.101669208510292,1.9596509091474827,60.908391672038995,0.3600542348753537,6.222076156418177,6.651184856860811
0.3844827586206897,7.92028767592484,1.9608991439722196,67.92937966504476,0.39075389071405153,6.5709109384892335,7.21829132651773
0.39482758620689656,8.807718649145363,1.9621473787969557,75.54054708383146,0.42315080248780185,6.929259396434954,7.816750747702486
0.4051724137931035,9.76771440555692,1.9633956136216921,83.77407582450284,0.45729063627557504,7.297121530255344,8.447406697586237
0.41551724137931034,10.804126840528236,1.9646438484464286,92.66300216978478,0.4932190581563408,7.674497339950393,9.111102753340122
0.42586206896551726,11.92090746741174,1.9658920832711648,102.24121678902559,0.5309817342090698,8.061386825520112,9.80868249213531
0.4362068965517242,13.12210741754347,1.9671403180959004,112.54346473819535,0.5706243305127312,8.457789986964494,10.540989491142943
0.4465517241379311,14.411877440243215,1.9683885529206377,123.60534545988693,0.6121925131462956,8.863706824283545,11.30886732753418
0.45689655172413796,15.794467902814374,1.9696367877453738,135.46331278331493,0.6557319481887326,9.279137337477254,12.113159578480161
0.4672413793103449,17.274228790544072,1.9708850225701104,148.15467492431657,0.7012883017190127,9.704081526545634,12.954709821152058
0.47758620689655173,18.855609706703078,1.972133257394847,161.71759448535104,0.7489072398161055,10.138539391488678,13.834361632721004
0.48793103448275865,20.543159872545846,1.973381492219583,176.1910884554999,0.7986344285589816,10.582510932306384,14.752958590358165
0.49827586206896557,22.341528127310493,1.9746297270443194,191.61502821046687,0.8505155340266107,11.035996148998759,15.711344271234687
0.5086206896551724,24.255462928218776,1.9758779618690558,208.03013951257736,0.9045962222979618,11.498995041565793,16.71036225252172
0.5189655172413794,26.289812350476268,1.9771261966937925,225.47800251078056,0.9609221594520075,11.971507610007505,17.75085611139044
0.5293103448275862,28.449524087272017,1.9783744315185285,244.0010517406459,1.019539011567715,12.453533854323867,18.83366942501196
0.5396551724137931,30.739645449778866,1.9796226663432654,263.64257612436626,1.0804924447240556,12.945073774514904,19.95964577055747
0.55,33.16532336715336,1.9808709011680015,284.4467189707568,1.143828125,13.446127370580605,21.129628725198096
