timestamp,k,omega,speed,chi_0,amplitude,cobb_angle,max_curvature,S_lat,U_CC,U_info,runtime_sec
2026-02-22T18:38:34.064152,0.0,0.0,0.0,10.0,0.1,42.145,238.2397,0.3633,43.9055,0.8805,21.635
2026-02-22T18:38:51.527326,0.0,0.0,1.0,10.0,0.1,42.145,238.2397,0.3633,43.9055,0.8805,17.463
2026-02-22T18:39:18.339365,6.28,0.0,0.0,10.0,0.1,58.0959,248.2617,0.8605,35.723,2.3123,26.812
2026-02-22T18:39:38.042023,6.28,6.28,1.0,10.0,0.1,12.8347,246.5977,0.7511,59.8406,3.7104,19.702
2026-02-22T18:39:57.992085,12.56,0.0,0.0,10.0,0.1,69.6798,233.7926,0.6281,42.0417,3.0516,19.95
2026-02-22T18:40:08.420248,12.56,12.56,1.0,10.0,0.1,27.1906,221.843,0.4307,39.6164,2.7382,10.428
