natural_kyphosis,active_curvature,anisotropy,seed
0.0,10.0,3.0,42
0.3333333333333333,10.0,3.0,42
0.6666666666666666,10.0,3.0,42
1.0,10.0,3.0,42
1.3333333333333333,10.0,3.0,42
1.6666666666666665,10.0,3.0,42
2.0,10.0,3.0,42
2.333333333333333,10.0,3.0,42
2.6666666666666665,10.0,3.0,42
3.0,10.0,3.0,42
3.333333333333333,10.0,3.0,42
3.6666666666666665,10.0,3.0,42
4.0,10.0,3.0,42
4.333333333333333,10.0,3.0,42
4.666666666666666,10.0,3.0,42
5.0,10.0,3.0,42
