seed,anisotropy,active_curvature,torsion_drive,stiffness_modulation,initial_lateral_defect,natural_kyphosis,length,n_elements,duration,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,U_CC,info_gain_ratio
42,3.0,10.0,0.0,0.0,0.05,0.0,0.4,50,2.0,155.20516955035606,0.03959168699521479,0.11559439994785113,0.004993490466359365,0.3034706511188451,0.05377419147314858,0.0006483664337126619,-0.10232292632484938,-8.324754245301806,1.9595466303244156
42,3.0,10.0,0.0,0.0,0.05,0.3333333333333333,0.4,50,2.0,155.07018946628395,0.0395970257984916,0.1191064940116865,0.0051230096625817035,0.31867771477305784,0.057167608369388764,0.00066442500676431,-0.10448818119046044,-8.326636736790652,1.960402908599931
42,3.0,10.0,0.0,0.0,0.05,0.6666666666666666,0.4,50,2.0,154.9341134659289,0.041153782041009106,0.12259559661560429,0.005257397780814919,0.33639695883151033,0.06072247389893472,0.0006814878386306874,-0.10649881242274468,-8.32842809407138,1.9612504013884091
42,3.0,10.0,0.0,0.0,0.05,1.0,0.4,50,2.0,154.79689655657106,0.04289644844456595,0.1260585870997092,0.005394066439604531,0.35717203042577933,0.06443281398316313,0.0006996184844132873,-0.10834523707926591,-8.330128772956364,1.9620894975775904
42,3.0,10.0,0.0,0.0,0.05,1.3333333333333333,0.4,50,2.0,154.65849399945625,0.04476678113421391,0.12949242711447428,0.0055404379879078,0.3817116603396301,0.06829213073070285,0.0007188857792106155,-0.11001798381853067,-8.331739228835922,1.9629205869736612
42,3.0,10.0,0.0,0.0,0.05,1.6666666666666665,0.4,50,2.0,154.5188613677543,0.0467684897113679,0.13289413805108186,0.00569718402524037,0.41095438059596023,0.0722933904548132,0.0007393639714135991,-0.11150771706839711,-8.333259917683417,1.9637440600599076
42,3.0,10.0,0.0,0.0,0.05,2.0,0.4,50,2.0,154.3779546046418,0.04890539939838685,0.13626078168484726,0.005865033335378851,0.44616615378327895,0.07642901215036667,0.0007611328306816625,-0.11280526319236515,-8.334691297080637,1.9645603077111733
42,3.0,10.0,0.0,0.0,0.05,2.333333333333333,0.4,50,2.0,154.23573008678406,0.051181455092938026,0.13958944354063174,0.00604477438255323,0.48909209831704614,0.08069085657270511,0.0007842777269870308,-0.11390163880293078,-8.33603382725162,1.965369720858594
42,3.0,10.0,0.0,0.0,0.05,2.6666666666666665,0.4,50,2.0,154.09214469919004,0.05360072314004422,0.14287721860553507,0.00623725779487388,0.5422005548553509,0.08507021611125741,0.0008088896766824978,-0.11478808137053591,-8.33728797209467,1.966172690099178
42,3.0,10.0,0.0,0.0,0.05,3.0,0.4,50,2.0,153.947155924175,0.056167390690325496,0.14612119908127735,0.006443398816807023,0.6090918506310913,0.08955780572054911,0.000835065350896303,-0.1154560822188697,-8.33845420019809,1.9669696052433434
42,3.0,10.0,0.0,0.0,0.05,3.333333333333333,0.4,50,2.0,153.8007219412373,0.058885762563003666,0.14931846389898762,0.006661768053740686,0.6952163410673708,0.0941437552149122,0.0008629070407762632,-0.11589742191535989,-8.33953298582578,1.9677608547941312
42,3.0,10.0,0.0,0.0,0.05,3.6666666666666665,0.4,50,2.0,153.6528017313258,0.061760255593601966,0.15246606974806512,0.006882057137574766,0.809209800825701,0.09881760322475365,0.0008925225735031341,-0.11610420802362333,-8.340524809855587,1.968546825351524
42,3.0,10.0,0.0,0.0,0.05,4.0,0.4,50,2.0,153.503355180602,0.06479539050669787,0.15556104343350807,0.007117929359757239,0.9655544837582951,0.10356829308179476,0.0009240251728578341,-0.11606891521731896,-8.341430160652935,1.96932790093416
42,3.0,10.0,0.0,0.0,0.05,4.333333333333333,0.4,50,2.0,153.35234318448158,0.06799578144430703,0.15860037546805508,0.007370461567806555,1.1903465486362539,0.10838417089941367,0.0009575332583806194,-0.1157844278265166,-8.342249534858016,1.9701044622112769
42,3.0,10.0,0.0,0.0,0.05,4.666666666666666,0.4,50,2.0,153.1997277587392,0.07136612335338938,0.16158101488211746,0.007640795660942807,1.5351102216591128,0.11325298616748578,0.0009931701771660412,-0.11524408491320294,-8.342983438065543,1.9708768856373784
42,3.0,10.0,0.0,0.0,0.05,5.0,0.4,50,2.0,153.04547216532066,0.07491117753980074,0.16449986525444893,0.007924080009833367,2.11331963934535,0.11816189526467388,0.0010310638619532722,-0.11444172789461311,-8.343632385372574,1.9716455424812793
